record_id,transaction_id,customer_src,customer_dst,device_src,device_dst,amount,trade_time,verified
d8588575-d3bb-4db3-9c07-11464dda3f94,c85cded3-201b-4a1f-9b0a-06a271a048bb,100018,100007,1ed31679-bf32-45cf-ac7f-d0cfb50f276f,28ebf239-988d-43cb-9b95-63e50d4a3ccc,675,2019/06/26 03:59:31,TRUE
edd7c85b-288f-48c0-aa9f-3d5c4292f51a,c63f2465-68ec-4f6f-8da2-33dd1ed61a1e,100015,100018,8023e553-bc75-4170-9854-4c9b72415113,0f4e8a44-0664-4459-a02c-9ff0f7a16438,744,2019/06/25 00:41:36,TRUE
58d0e302-e666-4f85-b5f1-be7c05bdf619,d962f78a-8dd5-4329-8545-b954c51ed2e8,100011,100001,f84a515a-1dfc-4ba7-ab64-6cc76a565bad,1374046c-75d9-495c-ac3a-7d212d848ace,1879,2019/06/24 02:42:55,TRUE
f7659b90-a872-4846-94be-f4c9ad9abbe6,2f1edcb5-e85f-40b5-9e25-86b56df338b6,100001,100019,771859df-d862-4003-ab00-f68c597352b5,388e9222-af69-458f-8637-abe9a361368f,837,2019/06/25 18:55:56,TRUE
af9737ce-bc0b-4684-953f-5b24e15bb107,f269faf0-29dd-4fda-af97-51e7b08bbd90,100006,100003,aa0390a5-6d0a-45ce-a2a0-198ba5529af2,854f3ab0-8b26-4f40-bfa5-8a658cef1969,1265,2019/06/24 17:29:00,TRUE
962a628b-7266-4027-a40e-5f576f470133,904f4f48-b27a-4984-9d25-c0acfb09dcbe,100019,100012,dcfad397-9d6d-4825-aa1c-97e7728087ed,c8cf6964-b224-4c64-9b4d-f4cf198c81c5,1283,2019/06/26 04:07:01,TRUE
8215a2db-bd6f-47b7-8d16-6b538978603a,eb72e8fb-f208-4706-ba88-797188155a32,100004,100012,e8043d5b-9295-4a57-a45c-a5198024451f,bb9c3bae-3d60-4036-9468-30fd95d95c65,1016,2019/06/24 18:07:34,TRUE
83961d48-8d4d-46f8-93ca-8a4dbc3391cf,21099589-e0ec-4d36-a8d6-6bd74a6a4227,100018,100016,85e623b9-6857-4344-a249-d7f69a100a38,77ccba7d-abe8-48ba-a3f2-4e179dc3d4c8,1035,2019/06/23 22:33:25,FALSE
3db46355-7452-4cc1-a70d-615d82a08e1b,9aa5be52-fa2a-4d99-8696-963b7dc7019a,100015,100013,5a8330c7-69cb-4c27-80ff-834be1142af0,3f4dd029-141b-42ea-9e59-3cf6070d3244,1485,2019/06/25 13:37:17,FALSE
3f78ccff-25e3-4870-9089-94aff7e6a320,fb89533f-de64-4aa9-bbc9-0ed23cab21f4,100016,100015,a0a4b942-fc43-48c8-9b4b-fe342a4c76f6,a77bdc9d-d7ec-4032-87a7-788e275c9f37,1007,2019/06/25 14:51:22,FALSE
118da047-9fc7-400f-9561-f35a2767e095,70900bd3-7c3c-41e0-8546-05b9d948677c,100011,100011,d9fc8cb3-1ec9-46aa-b716-694536f92cbd,ddca58cb-e85d-4aa8-a17c-9db3c276ba64,1547,2019/06/24 17:29:31,TRUE
125896af-36db-4b08-84a3-920421afb439,ec2a6812-11be-4a43-9e3b-f5dd14b316ff,100011,100019,b56f2725-db4e-4ace-8733-a587dac42d72,663cdc18-02e4-4b5f-9a2c-217a1d6c540f,507,2019/06/26 01:17:33,TRUE
7ad0df59-fa40-4b64-b4fe-33a0650be59c,295b32c0-1fd2-41a3-96e1-e725944383e5,100005,100020,2b9af4f2-191c-4b53-9641-863ef8ff11cd,09c77b8c-44b2-40ae-82f9-e46035740cbe,1450,2019/06/24 11:42:29,TRUE
a152de4f-df1e-40d2-815d-dbc1f571d0b1,38bcd296-3347-4cdc-928d-3bdd38b75d0c,100005,100004,2c692f16-61f9-454c-83ca-ac114ed4bae9,e795bc5a-308e-4606-bce6-37dbdcf1766e,394,2019/06/24 12:45:57,TRUE
4423180c-7403-4e35-b7df-ebb64259e02f,5f479c69-a19b-4852-9c97-ee329eb729af,100003,100012,5c13f3ee-f4f8-4927-aabd-30f8d1aae239,46a51eb0-9355-420d-9f5d-e47a6b7262a9,843,2019/06/24 04:04:04,TRUE
497c82cb-ed88-4d40-af91-4b6085bbfd23,75a68173-eda8-4015-b3b5-15463669afb0,100004,100017,47cd226a-f983-46ff-9031-20108501672e,b20b08e6-54d9-4a51-8b44-65899ea75277,1505,2019/06/25 10:33:43,FALSE
918d7a6d-7948-4677-bce7-b931a68eb01c,17a8197e-7b47-4935-b004-fc4659a0d874,100012,100014,db16693e-8916-4df0-b6a3-72f9018ace7a,0aa88e54-cab1-47c6-85a8-68482b989ed6,1324,2019/06/24 17:03:18,TRUE
8886b032-4960-4cd2-92b3-58339984daee,a499385f-732e-4a53-be40-026d24c3a6d7,100013,100005,f87f8f1a-09ae-45f7-9e87-c6777d05ad92,0d35cb8d-dbfb-4e52-8f60-925d5bb2dab2,227,2019/06/26 16:04:28,FALSE
0b9af7bf-89bb-4c25-b1d7-62948ebbb96e,1602fd48-f215-440a-af0c-cb85280d64f3,100002,100018,7c66d5b3-9277-4b7d-b1b1-6b39ee522cc7,ec56d645-9b1a-410d-886d-bb42621d9808,943,2019/06/26 04:21:34,TRUE
40d323b7-d1c6-413a-bd71-cf00e4a1e2e6,02814374-06c8-43ec-82e1-6f263eac0d09,100013,100008,a532bbd9-cce9-4f52-9585-ce9b398ee793,8ef5b799-a2df-4acf-9e43-373a0ad4cee8,1204,2019/06/26 13:20:11,FALSE
